timestamp_ns,timestamp_s,frame_id,source_method,x_m,y_m,z_m,qx,qy,qz,qw,roll_rad,pitch_rad,yaw_rad,std_x_m,std_y_m,std_z_m,quality_score,fix_status,covariance_type,origin_lat_deg,origin_lon_deg,origin_alt_m,notes
1723528213816268288,1723528213.816268444,camera_init,fastlivo2_lidar103_imu,0.010519,-0.005237,0.000161,-0.0001888680,0.0005807710,-0.0001085520,0.9999998080,nan,nan,-0.0002173235,0.050000,0.050000,0.100000,0.900,0,0,nan,nan,nan,fastlivo2_lio_mode;lidar=/lidar103/velodyne_points;imu=/mavros/imu/data;img_en=0;no_external_gt
1723528213896838912,1723528213.896838903,camera_init,fastlivo2_lidar103_imu,0.019804,-0.000486,-0.004756,0.0001798980,0.0008334780,-0.0007767530,0.9999993350,nan,nan,-0.0015532079,0.050000,0.050000,0.100000,0.900,0,0,nan,nan,nan,fastlivo2_lio_mode;lidar=/lidar103/velodyne_points;imu=/mavros/imu/data;img_en=0;no_external_gt
1723528214018293248,1723528214.018293381,camera_init,fastlivo2_lidar103_imu,0.006194,0.000396,-0.001588,0.0000976350,0.0005083390,-0.0007477250,0.9999995860,nan,nan,-0.0014953514,0.050000,0.050000,0.100000,0.900,0,0,nan,nan,nan,fastlivo2_lio_mode;lidar=/lidar103/velodyne_points;imu=/mavros/imu/data;img_en=0;no_external_gt
1723528214105361920,1723528214.105361938,camera_init,fastlivo2_lidar103_imu,0.008203,-0.001521,-0.000483,0.0002255520,0.0006924100,-0.0004293290,0.9999996430,nan,nan,-0.0008583463,0.050000,0.050000,0.100000,0.900,0,0,nan,nan,nan,fastlivo2_lio_mode;lidar=/lidar103/velodyne_points;imu=/mavros/imu/data;img_en=0;no_external_gt
1723528214212806144,1723528214.212806225,camera_init,fastlivo2_lidar103_imu,0.004172,0.011293,-0.001992,0.0001308240,0.0006592740,-0.0002740550,0.9999997370,nan,nan,-0.0005479379,0.050000,0.050000,0.100000,0.900,0,0,nan,nan,nan,fastlivo2_lio_mode;lidar=/lidar103/velodyne_points;imu=/mavros/imu/data;img_en=0;no_external_gt
1723528214295688192,1723528214.295688391,camera_init,fastlivo2_lidar103_imu,0.014692,0.006570,-0.001464,0.0001753140,0.0007197170,-0.0003838130,0.9999996520,nan,nan,-0.0007673743,0.050000,0.050000,0.100000,0.900,0,0,nan,nan,nan,fastlivo2_lio_mode;lidar=/lidar103/velodyne_points;imu=/mavros/imu/data;img_en=0;no_external_gt
1723528214396417024,1723528214.396417141,camera_init,fastlivo2_lidar103_imu,0.004700,-0.000727,0.001707,0.0001107030,0.0006624410,-0.0005674000,0.9999996130,nan,nan,-0.0011346541,0.050000,0.050000,0.100000,0.900,0,0,nan,nan,nan,fastlivo2_lio_mode;lidar=/lidar103/velodyne_points;imu=/mavros/imu/data;img_en=0;no_external_gt
1723528214497117184,1723528214.497117281,camera_init,fastlivo2_lidar103_imu,0.005514,0.003489,0.001314,0.0001723910,0.0008492360,0.0003273720,0.9999995710,nan,nan,0.0006550375,0.050000,0.050000,0.100000,0.900,0,0,nan,nan,nan,fastlivo2_lio_mode;lidar=/lidar103/velodyne_points;imu=/mavros/imu/data;img_en=0;no_external_gt
1723528214625313024,1723528214.625313044,camera_init,fastlivo2_lidar103_imu,0.001916,-0.002866,0.001013,0.0004151470,0.0008585050,-0.0002921580,0.9999995030,nan,nan,-0.0005836038,0.050000,0.050000,0.100000,0.900,0,0,nan,nan,nan,fastlivo2_lio_mode;lidar=/lidar103/velodyne_points;imu=/mavros/imu/data;img_en=0;no_external_gt
1723528214685640704,1723528214.685640812,camera_init,fastlivo2_lidar103_imu,0.001259,-0.003172,-0.000410,0.0003248030,0.0008141130,-0.0002862440,0.9999995750,nan,nan,-0.0005719597,0.050000,0.050000,0.100000,0.900,0,0,nan,nan,nan,fastlivo2_lio_mode;lidar=/lidar103/velodyne_points;imu=/mavros/imu/data;img_en=0;no_external_gt
1723528214791453440,1723528214.791453600,camera_init,fastlivo2_lidar103_imu,0.006328,-0.005452,0.003351,0.0001456690,0.0008412160,-0.0004044980,0.9999995540,nan,nan,-0.0008087518,0.050000,0.050000,0.100000,0.900,0,0,nan,nan,nan,fastlivo2_lio_mode;lidar=/lidar103/velodyne_points;imu=/mavros/imu/data;img_en=0;no_external_gt
1723528214880779008,1723528214.880779028,camera_init,fastlivo2_lidar103_imu,0.008414,-0.000026,0.004080,0.0000957400,0.0007747610,-0.0002473470,0.9999996650,nan,nan,-0.0004945461,0.050000,0.050000,0.100000,0.900,0,0,nan,nan,nan,fastlivo2_lio_mode;lidar=/lidar103/velodyne_points;imu=/mavros/imu/data;img_en=0;no_external_gt
1723528214993723648,1723528214.993723869,camera_init,fastlivo2_lidar103_imu,0.003556,-0.002070,0.000799,0.0002390280,0.0007261300,-0.0006331740,0.9999995070,nan,nan,-0.0012660019,0.050000,0.050000,0.100000,0.900,0,0,nan,nan,nan,fastlivo2_lio_mode;lidar=/lidar103/velodyne_points;imu=/mavros/imu/data;img_en=0;no_external_gt
1723528215117402880,1723528215.117403030,camera_init,fastlivo2_lidar103_imu,0.001191,-0.003371,-0.001280,0.0002543540,0.0007024780,-0.0004053070,0.9999996390,nan,nan,-0.0008102572,0.050000,0.050000,0.100000,0.900,0,0,nan,nan,nan,fastlivo2_lio_mode;lidar=/lidar103/velodyne_points;imu=/mavros/imu/data;img_en=0;no_external_gt
1723528215222347008,1723528215.222347021,camera_init,fastlivo2_lidar103_imu,0.005300,0.002287,-0.002930,0.0002085370,0.0006688510,-0.0003889210,0.9999996790,nan,nan,-0.0007775636,0.050000,0.050000,0.100000,0.900,0,0,nan,nan,nan,fastlivo2_lio_mode;lidar=/lidar103/velodyne_points;imu=/mavros/imu/data;img_en=0;no_external_gt
1723528215308077568,1723528215.308077574,camera_init,fastlivo2_lidar103_imu,0.001756,-0.000885,0.001852,0.0001810190,0.0007323280,-0.0004254090,0.9999996250,nan,nan,-0.0008505536,0.050000,0.050000,0.100000,0.900,0,0,nan,nan,nan,fastlivo2_lio_mode;lidar=/lidar103/velodyne_points;imu=/mavros/imu/data;img_en=0;no_external_gt
1723528215390465792,1723528215.390465975,camera_init,fastlivo2_lidar103_imu,-0.000230,-0.009591,0.002452,0.0001813460,0.0007432920,-0.0004572650,0.9999996030,nan,nan,-0.0009142612,0.050000,0.050000,0.100000,0.900,0,0,nan,nan,nan,fastlivo2_lio_mode;lidar=/lidar103/velodyne_points;imu=/mavros/imu/data;img_en=0;no_external_gt
1723528215517339648,1723528215.517339706,camera_init,fastlivo2_lidar103_imu,0.006480,-0.005403,0.000664,0.0001649470,0.0007192880,-0.0005512000,0.9999995760,nan,nan,-0.0011021636,0.050000,0.050000,0.100000,0.900,0,0,nan,nan,nan,fastlivo2_lio_mode;lidar=/lidar103/velodyne_points;imu=/mavros/imu/data;img_en=0;no_external_gt
1723528215612610816,1723528215.612610817,camera_init,fastlivo2_lidar103_imu,0.005210,-0.007444,0.000698,0.0001994390,0.0007041950,-0.0006048860,0.9999995490,nan,nan,-0.0012094921,0.050000,0.050000,0.100000,0.900,0,0,nan,nan,nan,fastlivo2_lio_mode;lidar=/lidar103/velodyne_points;imu=/mavros/imu/data;img_en=0;no_external_gt
1723528215699939328,1723528215.699939489,camera_init,fastlivo2_lidar103_imu,0.005469,-0.002272,-0.000639,0.0002318770,0.0007081960,-0.0003918130,0.9999996460,nan,nan,-0.0007832982,0.050000,0.050000,0.100000,0.900,0,0,nan,nan,nan,fastlivo2_lio_mode;lidar=/lidar103/velodyne_points;imu=/mavros/imu/data;img_en=0;no_external_gt
1723528215823946240,1723528215.823946238,camera_init,fastlivo2_lidar103_imu,0.006674,-0.002616,-0.002528,0.0002470560,0.0007023720,-0.0005724620,0.9999995590,nan,nan,-0.0011445778,0.050000,0.050000,0.100000,0.900,0,0,nan,nan,nan,fastlivo2_lio_mode;lidar=/lidar103/velodyne_points;imu=/mavros/imu/data;img_en=0;no_external_gt
1723528215906829568,1723528215.906829596,camera_init,fastlivo2_lidar103_imu,0.011756,0.000230,0.000499,0.0001554910,0.0006895300,0.0000746330,0.9999997470,nan,nan,0.0001494805,0.050000,0.050000,0.100000,0.900,0,0,nan,nan,nan,fastlivo2_lio_mode;lidar=/lidar103/velodyne_points;imu=/mavros/imu/data;img_en=0;no_external_gt
1723528216016424960,1723528216.016425133,camera_init,fastlivo2_lidar103_imu,0.009873,-0.000199,-0.001096,0.0001780530,0.0006398740,-0.0004584640,0.9999996740,nan,nan,-0.0009167007,0.050000,0.050000,0.100000,0.900,0,0,nan,nan,nan,fastlivo2_lio_mode;lidar=/lidar103/velodyne_points;imu=/mavros/imu/data;img_en=0;no_external_gt
1723528216117097984,1723528216.117098093,camera_init,fastlivo2_lidar103_imu,0.012780,-0.001657,-0.001575,0.0002023780,0.0006858350,0.0002480810,0.9999997140,nan,nan,0.0004964399,0.050000,0.050000,0.100000,0.900,0,0,nan,nan,nan,fastlivo2_lio_mode;lidar=/lidar103/velodyne_points;imu=/mavros/imu/data;img_en=0;no_external_gt
1723528216222262528,1723528216.222262621,camera_init,fastlivo2_lidar103_imu,0.015501,-0.001977,-0.003692,0.0002702260,0.0006830440,0.0002615990,0.9999996960,nan,nan,0.0005235675,0.050000,0.050000,0.100000,0.900,0,0,nan,nan,nan,fastlivo2_lio_mode;lidar=/lidar103/velodyne_points;imu=/mavros/imu/data;img_en=0;no_external_gt
