timestamp_s,x_m,y_m,z_m,qx,qy,qz,qw,frame_id,child_frame_id
1723528217.1509786,0.0637626173,0.1544719815,-0.1771051247,0.0490458421,0.0671397872,-0.0861976109,0.9928024608,lvisam_aligned,base_link
1723528217.2515311,0.0582853876,0.0638051270,-0.1763991239,0.0480874120,0.0665969361,-0.0883065424,0.9927005608,lvisam_aligned,base_link
1723528217.3526697,0.0591450741,0.0296815505,-0.1770796176,0.0479646486,0.0665653843,-0.0886216157,0.9926805384,lvisam_aligned,base_link
1723528217.4535213,0.0824466804,0.0563493591,-0.1888129985,0.0479573269,0.0666463090,-0.0876208927,0.9927642940,lvisam_aligned,base_link
1723528217.5539796,0.1070500919,0.1151093123,-0.1840268078,0.0480671844,0.0663965706,-0.0858048706,0.9929343208,lvisam_aligned,base_link
1723528217.6551595,0.1223400710,0.1602123590,-0.1798404297,0.0479042558,0.0664192752,-0.0841972415,0.9930782883,lvisam_aligned,base_link
1723528217.756182,0.1260338936,0.1712078573,-0.1823061530,0.0480398355,0.0664772953,-0.0833810527,0.9931367194,lvisam_aligned,base_link
1723528217.8564606,0.1253362138,0.1675909690,-0.1790884095,0.0481319398,0.0666499554,-0.0832753388,0.9931295574,lvisam_aligned,base_link
1723528217.95786,0.1235706434,0.1536052327,-0.1805759295,0.0480597995,0.0665003995,-0.0834352780,0.9931296526,lvisam_aligned,base_link
1723528218.0583549,0.1327329631,0.1400963011,-0.1877817258,0.0484733112,0.0668146032,-0.0833581333,0.9930949444,lvisam_aligned,base_link
1723528218.1595416,0.1411560012,0.1314689543,-0.1913508198,0.0489585166,0.0670218177,-0.0833806278,0.9930552908,lvisam_aligned,base_link
1723528218.2600093,0.1453564466,0.1272874234,-0.1936535517,0.0491708227,0.0668123283,-0.0832320286,0.9930713833,lvisam_aligned,base_link
1723528218.3607688,0.1456833023,0.1233569623,-0.1987830061,0.0487808045,0.0663069120,-0.0828569337,0.9931558564,lvisam_aligned,base_link
1723528218.462072,0.1492801611,0.1208470324,-0.1928422453,0.0488327700,0.0662434377,-0.0824366427,0.9931925128,lvisam_aligned,base_link
