stamp,lat,lon,alt,cov_x,cov_y,cov_z,status,service,rtk_mode,source
1621218775.000000,22.3010703333,114.1790446667,3.8000,35.402500,35.402500,90.630400,0,15,single,ublox_m8t_gej
1621218776.000000,22.3010636667,114.1790498333,3.3000,25.000000,25.000000,64.000000,0,15,single,ublox_m8t_gej
1621218777.000000,22.3010573333,114.1790545000,2.9000,37.210000,37.210000,95.257600,0,15,single,ublox_m8t_gej
1621218778.000000,22.3010520000,114.1790578333,2.7000,25.000000,25.000000,64.000000,0,15,single,ublox_m8t_gej
1621218779.000000,22.3010463333,114.1790616667,2.5000,25.000000,25.000000,64.000000,0,15,single,ublox_m8t_gej
1621218780.000000,22.3010411667,114.1790636667,2.6000,37.210000,37.210000,95.257600,0,15,single,ublox_m8t_gej
1621218781.000000,22.3010365000,114.1790650000,2.9000,25.000000,25.000000,64.000000,0,15,single,ublox_m8t_gej
1621218782.000000,22.3010318333,114.1790651667,3.1000,25.000000,25.000000,64.000000,0,15,single,ublox_m8t_gej
1621218783.000000,22.3010263333,114.1790648333,3.1000,25.000000,25.000000,64.000000,0,15,single,ublox_m8t_gej
1621218784.000000,22.3010200000,114.1790645000,3.3000,25.000000,25.000000,64.000000,0,15,single,ublox_m8t_gej
1621218785.000000,22.3010131667,114.1790611667,3.5000,25.000000,25.000000,64.000000,0,15,single,ublox_m8t_gej
1621218786.000000,22.3010043333,114.1790566667,3.6000,34.810000,34.810000,89.113600,0,15,single,ublox_m8t_gej
1621218787.000000,22.3009940000,114.1790506667,4.0000,25.000000,25.000000,64.000000,0,15,single,ublox_m8t_gej
1621218788.000000,22.3009840000,114.1790460000,3.8000,25.000000,25.000000,64.000000,0,15,single,ublox_m8t_gej
1621218789.000000,22.3009748333,114.1790405000,3.9000,25.000000,25.000000,64.000000,0,15,single,ublox_m8t_gej
1621218790.000000,22.3009655000,114.1790386667,4.2000,25.000000,25.000000,64.000000,0,15,single,ublox_m8t_gej
1621218791.000000,22.3009565000,114.1790361667,4.5000,25.000000,25.000000,64.000000,0,15,single,ublox_m8t_gej
1621218792.000000,22.3009525000,114.1790286667,4.4000,25.000000,25.000000,64.000000,0,15,single,ublox_m8t_gej
1621218793.000000,22.3009420000,114.1790240000,5.2000,25.000000,25.000000,64.000000,0,15,single,ublox_m8t_gej
1621218794.000000,22.3009266667,114.1790228333,6.5000,27.562500,27.562500,70.560000,0,15,single,ublox_m8t_gej
1621218795.000000,22.3009106667,114.1790218333,6.9000,46.922500,46.922500,120.121600,0,15,single,ublox_m8t_gej
1621218796.000000,22.3008956667,114.1790213333,7.6000,50.410000,50.410000,129.049600,0,15,single,ublox_m8t_gej
1621218797.000000,22.3008786667,114.1790205000,8.8000,57.002500,57.002500,145.926400,0,15,single,ublox_m8t_gej
1621218798.000000,22.3008648333,114.1790205000,9.8000,25.000000,25.000000,64.000000,0,15,single,ublox_m8t_gej
1621218799.000000,22.3008535000,114.1790233333,10.8000,43.560000,43.560000,111.513600,0,15,single,ublox_m8t_gej
1621218800.000000,22.3008378333,114.1790348333,11.8000,26.010000,26.010000,66.585600,0,15,single,ublox_m8t_gej
1621218801.000000,22.3008243333,114.1790376667,12.2000,36.000000,36.000000,92.160000,0,15,single,ublox_m8t_gej
1621218802.000000,22.3008128333,114.1790393333,12.8000,121.000000,121.000000,309.760000,0,15,single,ublox_m8t_gej
1621218803.000000,22.3007985000,114.1790425000,12.8000,43.560000,43.560000,111.513600,0,15,single,ublox_m8t_gej
1621218804.000000,22.3007846667,114.1790431667,13.1000,455.822500,455.822500,1166.905600,0,15,single,ublox_m8t_gej
1621218805.000000,22.3007698333,114.1790440000,13.5000,49.000000,49.000000,125.440000,0,15,single,ublox_m8t_gej
1621218806.000000,22.3007538333,114.1790461667,13.5000,49.000000,49.000000,125.440000,0,15,single,ublox_m8t_gej
1621218807.000000,22.3007318333,114.1790540000,12.2000,49.000000,49.000000,125.440000,0,15,single,ublox_m8t_gej
1621218808.000000,22.3007171667,114.1790560000,12.6000,141.610000,141.610000,362.521600,0,15,single,ublox_m8t_gej
1621218809.000000,22.3007030000,114.1790570000,13.5000,66.422500,66.422500,170.041600,0,15,single,ublox_m8t_gej
1621218810.000000,22.3006856667,114.1790605000,14.6000,42.902500,42.902500,109.830400,0,15,single,ublox_m8t_gej
1621218811.000000,22.3006713333,114.1790618333,15.5000,57.760000,57.760000,147.865600,0,15,single,ublox_m8t_gej
1621218812.000000,22.3006575000,114.1790626667,16.4000,57.760000,57.760000,147.865600,0,15,single,ublox_m8t_gej
1621218813.000000,22.3006438333,114.1790633333,17.5000,57.760000,57.760000,147.865600,0,15,single,ublox_m8t_gej
1621218814.000000,22.3006303333,114.1790638333,18.6000,59.290000,59.290000,151.782400,0,15,single,ublox_m8t_gej
1621218815.000000,22.3006161667,114.1790646667,19.7000,43.560000,43.560000,111.513600,0,15,single,ublox_m8t_gej
