ros_time,wall_time,event,from_source,to_source,reason,pose_jump_m,orientation_jump_deg
0.0,1782385228.7815416,startup,none,none,fusion_node_started,0.0,0.0
1723528215.702099,1782385250.6558049,switch,none,fast_livo2,initial_healthy_source,0.0,0.0
1723528231.9722667,1782385283.1972995,alignment_overlap_reset,fast_livo2,orbslam3,"fast_livo2_unhealthy:lidar_unavailable,stale_pose",0.0,0.0
1723528231.9722667,1782385283.2039683,switch,fast_livo2,orbslam3,"active_unhealthy:lidar_unavailable,stale_pose",7.108909503834995e-15,0.0
1723528231.977311,1782385283.2093284,switch_applied,fast_livo2,orbslam3,"active_unhealthy:lidar_unavailable,stale_pose",7.108909503834995e-15,0.0
1723528255.772804,1782385330.7970693,alignment_overlap_reset,fast_livo2,orbslam3,fast_livo2_unhealthy:lidar_unavailable,0.0,0.0
1723528268.3044357,1782385355.8600354,switch,orbslam3,fast_livo2,primary_recovered_and_consistent,7.105427357601002e-15,0.0
1723528268.4063919,1782385356.065859,switch_applied,orbslam3,fast_livo2,primary_recovered_and_consistent,49.3374967742839,176.552466479522
1723528300.771751,1782385420.795737,switch,fast_livo2,orbslam3,active_unhealthy:unrealistic_acceleration,3.03617073228323e-14,0.0
1723528300.771751,1782385420.7992067,switch_applied,fast_livo2,orbslam3,active_unhealthy:unrealistic_acceleration,3.03617073228323e-14,0.0
1723528303.793294,1782385426.83858,switch,orbslam3,fast_livo2,primary_recovered_and_consistent,1.1102230246251565e-16,0.0
1723528303.8706648,1782385426.9947138,switch_applied,orbslam3,fast_livo2,primary_recovered_and_consistent,6.494998019503563,5.7000785079264675
1723528312.16937,1782385443.5897844,switch,fast_livo2,orbslam3,active_unhealthy:unrealistic_acceleration,1.5889770088874795e-14,0.0
1723528312.16937,1782385443.5915494,switch_applied,fast_livo2,orbslam3,active_unhealthy:unrealistic_acceleration,1.5889770088874795e-14,1.2074182697257333e-06
1723528315.4718394,1782385450.1948109,switch,orbslam3,fast_livo2,primary_recovered_and_consistent,2.010208941128915e-14,0.0
1723528315.571217,1782385450.3956501,switch_applied,orbslam3,fast_livo2,primary_recovered_and_consistent,1.6938919712837481,1.5269604922976772
