key,label,type,sensor,perturbation_type,start,end,samples,relative_position_rmse_m,relative_position_max_m,relative_x_rmse_m,relative_y_rmse_m,relative_z_rmse_m,relative_yaw_rmse_deg,dominant_components,absolute_position_rmse_m,absolute_x_rmse_m,absolute_y_rmse_m,absolute_z_rmse_m,absolute_yaw_rmse_deg
01_straight_road,01 straight_road,temporal_phase,,,1723528213.157124,1723528321.185588,2136,0.9650943227001835,1.5024938245754933,0.34900338625968536,0.4479515592329461,0.7803480561058443,0.7640367390769989,"z,yaw",0.9650830171040642,0.3513362187323334,0.4456784253707708,0.7805887729583247,0.7660992306421321
02_left_turn,02 left_turn,temporal_phase,,,1723528321.185588,1723528237.046052,0,,,,,,,,,,,,
03_straight_road,03 straight_road,temporal_phase,,,1723528237.046052,1723528244.525495,148,0.18704622791755615,0.5190321808716875,0.037398445489412464,0.04944304776040294,0.17647388668390665,0.6484858738859806,yaw,0.629605109660795,0.25131975214806795,0.22866745212393158,0.5300492171773907,0.3314465664562984
04_left_turn,04 left_turn,temporal_phase,,,1723528244.525495,1723528250.465728,118,0.33081619558993425,0.42143864436104084,0.12749255177158358,0.23721601234783768,0.19212903995273128,1.3715681247613403,yaw,1.094445390255465,0.27272396328425996,0.34585411779729336,1.001906822665969,2.307983700913811
05_straight_road,05 straight_road,temporal_phase,,,1723528250.465728,1723528263.265728,254,0.9707780853794881,1.412736337573003,0.7743202349133318,0.15328075682955825,0.56510465795513,0.30113818829491973,x,0.7713047526076312,0.5490038160318111,0.2857182765539752,0.4602943599705025,0.37909071274760137
06_trees_occlusion,06 trees_occlusion,temporal_phase,,,1723528263.265728,1723528273.585834,204,0.3084314744783217,0.5283270488919846,0.05426460320994138,0.11512255941012137,0.2809486138107863,0.12752062532865305,z,0.5225031895760024,0.02845529507324327,0.4013820553242111,0.3333051529201167,0.5353085754628718
07_straight_road,07 straight_road,temporal_phase,,,1723528273.585834,1723528280.882174,144,0.27695699728651574,0.5102468266739073,0.12862889127501853,0.016535689610124985,0.24471689284648934,0.14973123788413584,z,0.9377710821991003,0.14267349252003012,0.5261182749482142,0.7630586071243313,0.21985243624567363
08_left_turn,08 left_turn,temporal_phase,,,1723528280.882174,1723528285.674305,96,0.24327773730301855,0.42098088333468997,0.19117275454744903,0.055405979838518325,0.13988285378898666,0.5206696369031305,yaw,1.2347173647694916,0.1987789833794764,0.5190684137069637,1.1025342935807827,0.626012630750716
09_straight_road,09 straight_road,temporal_phase,,,1723528285.674305,1723528306.69381,416,0.2791161752005374,0.5219251680690334,0.25161977073154135,0.10090341744131964,0.06642161232796504,0.5018566325204783,yaw,1.4275805121844996,0.22288118168738133,0.6354371317659256,1.2587810568926139,0.7414501018713486
10_trees_building_occlusion,10 trees+building_occlusion,temporal_phase,,,1723528306.69381,1723528317.083501,206,0.34870455083979984,0.6184925464490931,0.1908142527138491,0.10179080290821893,0.27353869412012277,0.10551023385676231,z,1.3112945568910888,0.6303123667533669,0.6909770919001051,0.9191030375965692,0.7046934626702196
11_u-turn,11 u-turn,temporal_phase,,,1723528317.083501,1723528334.696008,350,1.097204839267767,1.9974352530662232,0.5774500417405923,0.43263086974294157,0.8265835947754228,4.627983743802877,yaw,1.2128457005329134,0.6969694073627244,0.9015821393585332,0.4151842777506338,4.174417315005608
12_speed_breaker,12 speed_breaker,temporal_phase,,,1723528334.696008,1723528336.569798,36,0.2936410111393891,0.3711117276804129,0.2797117105646376,0.052181726643324024,0.07254977464119802,1.3260705461912858,yaw,1.918956043549315,0.2856780321550421,1.7574306144509555,0.7156940648133112,8.41352532381778
13_straight_road,13 straight_road,temporal_phase,,,1723528336.569798,1723528356.963645,406,4.590033376845065,8.0661256874049,2.053806309542945,4.103092426309904,0.12214165788792447,9.737770131673944,yaw,6.042163925406715,1.8017217387353115,5.703947066093762,0.8523681979375186,4.055427209058967
14_right_turn,14 right_turn,temporal_phase,,,1723528356.963645,1723528362.235453,104,2.9555524786010894,5.530613512984363,2.801987622701832,0.9039620516391443,0.25885985626808433,20.571201504362666,yaw,10.400220850300244,6.627044673346591,7.914673049850176,1.266816145485932,28.656092606407974
15_straight_road,15 straight_road,temporal_phase,,,1723528362.235453,1723528378.383415,320,7.943995409622148,11.446815157798172,6.851466201250709,3.846556316957513,1.1698198415530565,24.399493269789808,yaw,16.4460140180979,15.88768477913406,3.3332945138043555,2.6347669966406757,16.780810710101573
