stamp,x,y,z,qx,qy,qz,qw,yaw,vx,vy,vz,algorithm,run_id
1723528213.521413803,-0.007290901596944648,-0.0027058019645254654,-0.0005995786878890232,-2.8862781882447827e-05,1.0947738046663093e-05,-0.00010639736184860238,0.999999993863344,-0.00021279535601264886,0.0,0.0,0.0,fast_lio2,0
1723528213.521413803,-0.007290901596944648,-0.0027058019645254654,-0.0005995786878890232,-2.8862781882447827e-05,1.0947738046663093e-05,-0.00010639736184860238,0.999999993863344,-0.00021279535601264886,0.0,0.0,0.0,fast_lio2,0
1723528213.620239735,0.007003638532706258,-0.002441342230594004,3.165602916710471e-05,-3.2163761788651505e-05,3.7522128090839363e-06,-1.807245025986167e-05,0.9999999993123998,-3.6145141874315946e-05,0.0,0.0,0.0,fast_lio2,0
1723528213.620239735,0.007003638532706258,-0.002441342230594004,3.165602916710471e-05,-3.2163761788651505e-05,3.7522128090839363e-06,-1.807245025986167e-05,0.9999999993123998,-3.6145141874315946e-05,0.0,0.0,0.0,fast_lio2,0
1723528213.720420599,0.007756070309682862,-0.0075752202981511415,-0.0025829087798067657,-6.737259201210241e-06,-7.797749852893762e-06,-0.000162436004535852,0.9999999867541742,-0.00032487190545169253,0.0,0.0,0.0,fast_lio2,0
1723528213.720420599,0.007756070309682862,-0.0075752202981511415,-0.0025829087798067657,-6.737259201210241e-06,-7.797749852893762e-06,-0.000162436004535852,0.9999999867541742,-0.00032487190545169253,0.0,0.0,0.0,fast_lio2,0
1723528213.821674824,0.0025229879791097117,-0.008121074582478243,-0.0012854838730757747,-2.7213877415351416e-05,9.107577511471282e-07,6.313757005174694e-05,0.9999999976361112,0.00012627509057028865,0.0,0.0,0.0,fast_lio2,0
1723528213.821674824,0.0025229879791097117,-0.008121074582478243,-0.0012854838730757747,-2.7213877415351416e-05,9.107577511471282e-07,6.313757005174694e-05,0.9999999976361112,0.00012627509057028865,0.0,0.0,0.0,fast_lio2,0
1723528213.924134254,0.0012506735450700003,-0.0060518498609905555,-0.000325907799913858,-4.0470955759857634e-05,1.196550869088113e-07,-8.731667184910437e-05,0.9999999953689431,-0.00017463335346221462,0.0,0.0,0.0,fast_lio2,0
1723528213.924134254,0.0012506735450700003,-0.0060518498609905555,-0.000325907799913858,-4.0470955759857634e-05,1.196550869088113e-07,-8.731667184910437e-05,0.9999999953689431,-0.00017463335346221462,0.0,0.0,0.0,fast_lio2,0
1723528214.025376081,-0.001882351281759539,-0.006410555890424732,-0.0009307484278202801,-2.5954901691129548e-05,3.5085841935575746e-06,-0.00015905525278784704,0.9999999870077294,-0.00031811068894561613,0.0,0.0,0.0,fast_lio2,0
1723528214.025376081,-0.001882351281759539,-0.006410555890424732,-0.0009307484278202801,-2.5954901691129548e-05,3.5085841935575746e-06,-0.00015905525278784704,0.9999999870077294,-0.00031811068894561613,0.0,0.0,0.0,fast_lio2,0
1723528214.125263691,-0.003417589572677761,-0.007812887263906247,-0.0009262655247053984,-3.386360636119071e-05,1.6664570433983547e-06,-0.0001152575073196726,0.9999999927830926,-0.00023051512788299368,0.0,0.0,0.0,fast_lio2,0
1723528214.125263691,-0.003417589572677761,-0.007812887263906247,-0.0009262655247053984,-3.386360636119071e-05,1.6664570433983547e-06,-0.0001152575073196726,0.9999999927830926,-0.00023051512788299368,0.0,0.0,0.0,fast_lio2,0
1723528214.224121332,-0.005254269051715854,-0.008730147355740911,-0.0006709909237433902,-3.364226445656027e-05,2.0493891175252447e-06,-0.00013179643602867616,0.9999999907468481,-0.00026359301056513645,0.0,0.0,0.0,fast_lio2,0
1723528214.224121332,-0.005254269051715854,-0.008730147355740911,-0.0006709909237433902,-3.364226445656027e-05,2.0493891175252447e-06,-0.00013179643602867616,0.9999999907468481,-0.00026359301056513645,0.0,0.0,0.0,fast_lio2,0
1723528214.325482607,-0.005660884327670521,-0.009617813769802431,-0.0012535155272801776,-3.339899644802549e-05,-1.6963702219499803e-06,-0.00017992758367725095,0.999999983253846,-0.00035985505578288294,0.0,0.0,0.0,fast_lio2,0
1723528214.325482607,-0.005660884327670521,-0.009617813769802431,-0.0012535155272801776,-3.339899644802549e-05,-1.6963702219499803e-06,-0.00017992758367725095,0.999999983253846,-0.00035985505578288294,0.0,0.0,0.0,fast_lio2,0
1723528214.429665565,-0.0021657001442458657,-0.008560862605345845,-0.0016753280549308975,-1.5695670825923386e-05,6.305210979732539e-06,-0.0002608939951762795,0.9999999658241053,-0.0005217881941677164,0.0,0.0,0.0,fast_lio2,0
1723528214.429665565,-0.0021657001442458657,-0.008560862605345845,-0.0016753280549308975,-1.5695670825923386e-05,6.305210979732539e-06,-0.0002608939951762795,0.9999999658241053,-0.0005217881941677164,0.0,0.0,0.0,fast_lio2,0
