key,label,type,sensor,perturbation_type,start,end,samples,relative_position_rmse_m,relative_position_max_m,relative_x_rmse_m,relative_y_rmse_m,relative_z_rmse_m,relative_yaw_rmse_deg,dominant_components,absolute_position_rmse_m,absolute_x_rmse_m,absolute_y_rmse_m,absolute_z_rmse_m,absolute_yaw_rmse_deg
01_straight_road,01 straight_road,temporal_phase,,,1723528213.157124,1723528321.185588,1145,0.7209215951578022,1.6243806233740368,0.2840547598832861,0.4659021241800365,0.47114334383184125,0.5086401207137003,"yaw,z,y",0.7217801531606812,0.28382154599430043,0.46769783846098106,0.4708191281426321,0.5680877166256949
02_left_turn,02 left_turn,temporal_phase,,,1723528321.185588,1723528237.046052,0,,,,,,,,,,,,
03_straight_road,03 straight_road,temporal_phase,,,1723528237.046052,1723528244.525495,80,0.20827688622148707,0.4578072194895478,0.13087449273634136,0.130004147248746,0.0966956575201286,0.7181783847879765,yaw,0.39461677466895356,0.06951758447402918,0.27412289036009707,0.2752205393491736,0.47275259148344545
04_left_turn,04 left_turn,temporal_phase,,,1723528244.525495,1723528250.465728,60,0.14126629616003158,0.2421458835390455,0.08725772641787553,0.03269236326433041,0.10617657460734924,0.37690572673721723,yaw,0.5352565587495914,0.15395692765743835,0.18508251958622968,0.4780599429510383,0.41878615049201956
05_straight_road,05 straight_road,temporal_phase,,,1723528250.465728,1723528263.265728,136,0.4801301405306971,1.0720452148130843,0.4321845153118494,0.14391497393476665,0.15175630744072588,0.30231719874837226,x,0.49922281970910487,0.37196990032106964,0.07972783432763711,0.32327277863573306,0.36706118578184205
06_trees_occlusion,06 trees_occlusion,temporal_phase,,,1723528263.265728,1723528273.585834,110,0.2686189911923103,0.4490043063754009,0.09078729435280386,0.08242235652357383,0.2389987128801591,0.2666515771163248,yaw,0.4028421534330825,0.3780878745525789,0.0691243276743779,0.12063659072802829,0.4105591790597018
07_straight_road,07 straight_road,temporal_phase,,,1723528273.585834,1723528280.882174,78,0.22958387447613468,0.5377596936683672,0.17303625545698056,0.12696548377783076,0.08152898653829531,0.33090742449250493,yaw,0.4465565728829132,0.3650442412114017,0.24518499513398087,0.07771610453744036,0.6593253267191853
08_left_turn,08 left_turn,temporal_phase,,,1723528280.882174,1723528285.674305,50,0.20203954654195755,0.3592940941287952,0.15171707561487757,0.13265562203393166,0.01429661766083153,0.6213148669688047,yaw,0.4978730543978064,0.2411508336432673,0.4100416200957388,0.1469344191053274,0.7549985806853625
09_straight_road,09 straight_road,temporal_phase,,,1723528285.674305,1723528306.69381,231,0.7204168462249402,1.2100480708779724,0.240088384760242,0.27733299982670867,0.6200358110907997,1.058060721298002,yaw,0.91176568605715,0.184798238653718,0.7207579091941376,0.5269481128117304,0.6972844536038086
10_trees_building_occlusion,10 trees+building_occlusion,temporal_phase,,,1723528306.69381,1723528317.083501,110,0.35994192824609655,0.636575518906811,0.2197319138301687,0.2628336673583858,0.11042889593304324,0.20736316482744607,y,1.389806590334271,0.4200063770623182,0.8996116178168237,0.9725512525582158,0.7123521467311286
11_u-turn,11 u-turn,temporal_phase,,,1723528317.083501,1723528334.696008,180,0.6506248557039318,1.4789594711139475,0.5559396421636363,0.32270642133056493,0.10052055890587755,4.153149039411803,yaw,1.5007405732291512,0.6223923099015354,0.9274716918622963,1.00232047844274,3.872024427808356
12_speed_breaker,12 speed_breaker,temporal_phase,,,1723528334.696008,1723528336.569798,20,0.244995141927285,0.32879129233171256,0.23819025110332684,0.055518656932644156,0.014342335224781238,0.7400630952368459,yaw,1.8184569989883512,0.10034452047390359,1.6146467076950557,0.8304413547687157,7.651436815083382
13_straight_road,13 straight_road,temporal_phase,,,1723528336.569798,1723528356.963645,220,4.272591042263376,7.6764086278263415,1.7864889328279154,3.8746201363792663,0.22541141514340957,8.618881773631237,yaw,5.640530854202333,1.6950838898829659,5.339197838296367,0.6597312839324331,3.589231589592394
14_right_turn,14 right_turn,temporal_phase,,,1723528356.963645,1723528362.235453,57,2.7341176315419324,5.38188747565959,2.5414850637672575,1.0035035668760124,0.09609102467726273,20.340406372694098,yaw,9.846792722120004,6.248668290943152,7.603472975136823,0.3172857048797978,27.38301601052472
15_straight_road,15 straight_road,temporal_phase,,,1723528362.235453,1723528378.383415,165,7.859589678221539,11.187377918234043,7.0680538228092615,3.4355665060579814,0.11246266193945922,24.973752804876305,yaw,16.01639245947989,15.647768986180669,3.412755147501627,0.15891971057054016,16.219617603818435
