key,label,type,sensor,perturbation_type,start,end,samples,relative_position_rmse_m,relative_position_max_m,relative_x_rmse_m,relative_y_rmse_m,relative_z_rmse_m,relative_yaw_rmse_deg,dominant_components,absolute_position_rmse_m,absolute_x_rmse_m,absolute_y_rmse_m,absolute_z_rmse_m,absolute_yaw_rmse_deg
01_straight_road,01 straight_road,temporal_phase,,,1723528213.157124,1723528321.185588,2276,0.4828653793340652,1.1247722078529363,0.26252634381081946,0.3689590958529809,0.16765464190443607,0.49385892061524905,yaw,0.4843072234592621,0.26163999059102977,0.37098476627896837,0.16872553217366096,0.5240672304930697
02_left_turn,02 left_turn,temporal_phase,,,1723528321.185588,1723528237.046052,0,,,,,,,,,,,,
03_straight_road,03 straight_road,temporal_phase,,,1723528237.046052,1723528244.525495,162,0.11909733879511944,0.32785156159344997,0.07197774170571164,0.09195613401637322,0.02339765423686995,0.32126354942638846,yaw,0.1441357812614131,0.08735561219852696,0.111966876243993,0.024648307881492606,0.3432975535814029
04_left_turn,04 left_turn,temporal_phase,,,1723528244.525495,1723528250.465728,118,0.21231824215195705,0.3203732904737093,0.09009306872036456,0.19076729787994323,0.023877038732425557,0.9238978809891818,yaw,0.15049103848365172,0.10087829733684553,0.10778592215984852,0.0292115863050608,1.2529426786256705
05_straight_road,05 straight_road,temporal_phase,,,1723528250.465728,1723528263.265728,270,0.6139743272238398,1.2549019238939334,0.5859588556187059,0.15824300766359317,0.09260585584920158,0.38114362450436884,x,0.5174150408821738,0.5004593085192437,0.07331438263023289,0.10901287239170407,0.38518588278775034
06_trees_occlusion,06 trees_occlusion,temporal_phase,,,1723528263.265728,1723528273.585834,220,0.1364533619217407,0.3986409653649398,0.09344537691739027,0.08545400823834058,0.05084381957046524,0.2835849045932246,yaw,0.3026132145956799,0.14051908095057866,0.10874988250116312,0.2449542989880337,0.45099145610028324
07_straight_road,07 straight_road,temporal_phase,,,1723528273.585834,1723528280.882174,156,0.1627614433651449,0.5081075506743464,0.1485549885476732,0.06131464616575927,0.025752999620892544,0.24915326438928032,yaw,0.4178830920936035,0.16088184442328293,0.2353066669108273,0.3055717318404807,0.36814117428809173
08_left_turn,08 left_turn,temporal_phase,,,1723528280.882174,1723528285.674305,100,0.18467787991627804,0.3854636682105692,0.1594932411263251,0.09205913133603119,0.013890345677718229,0.4107408480575482,yaw,0.467810530344642,0.1375062601790976,0.3164052973501435,0.3159531745712661,0.40742435107023295
09_straight_road,09 straight_road,temporal_phase,,,1723528285.674305,1723528306.69381,452,0.341939284124836,0.6152948276624872,0.2810156268473271,0.16548685818696632,0.10279489901165344,0.2559687119063648,"x,yaw",0.6219621488794271,0.16004392774432166,0.5584725876351778,0.22210633644935363,0.5785928559503448
10_trees_building_occlusion,10 trees+building_occlusion,temporal_phase,,,1723528306.69381,1723528317.083501,214,0.1942731391246941,0.34850066154850357,0.15035441986273304,0.10787779979754171,0.0591437344436862,0.16169105332104067,"yaw,x",0.8614646763095092,0.4280028463126593,0.7442823962549897,0.07055966767382792,0.5748761773578892
11_u-turn,11 u-turn,temporal_phase,,,1723528317.083501,1723528334.696008,354,0.6542989528165087,1.4664712357516585,0.5570847766049525,0.3420154683873333,0.02809075854410596,4.188292440791951,yaw,1.0641529419003484,0.5812084586030035,0.891301219411882,0.014154422573153455,3.8826765569543533
12_speed_breaker,12 speed_breaker,temporal_phase,,,1723528334.696008,1723528336.569798,40,0.27525222589397047,0.3563311650390545,0.27024423515968143,0.04195573758437076,0.031169814024076953,1.088467693467036,yaw,1.6648714236179527,0.1034499464257099,1.6614282554465525,0.027406527835727324,8.202663867747594
13_straight_road,13 straight_road,temporal_phase,,,1723528336.569798,1723528356.963645,432,4.2997830884739825,7.84139872304521,1.7958077934629864,3.906673143347466,0.03337555860330905,9.218545935376362,yaw,5.677602406078731,1.7441183340726212,5.402999483496532,0.02858145550853246,3.7164244704239247
14_right_turn,14 right_turn,temporal_phase,,,1723528356.963645,1723528362.235453,112,2.8672134681539396,5.42139951656214,2.73970978204238,0.8434850763700784,0.05862003143633847,20.695237140080025,yaw,9.936707651741829,6.3915812844760564,7.608151435086477,0.04335182708468501,27.787127615815194
15_straight_road,15 straight_road,temporal_phase,,,1723528362.235453,1723528378.383415,330,7.910455219851349,11.14227960536243,7.116263653806262,3.449237475758024,0.19197455720935466,24.75723837343108,yaw,16.230787689036394,15.871975319822146,3.3916192833710586,0.12564668796798475,15.846182013603048
