key,label,type,sensor,perturbation_type,start,end,samples,relative_position_rmse_m,relative_position_max_m,relative_x_rmse_m,relative_y_rmse_m,relative_z_rmse_m,relative_yaw_rmse_deg,dominant_components,absolute_position_rmse_m,absolute_x_rmse_m,absolute_y_rmse_m,absolute_z_rmse_m,absolute_yaw_rmse_deg
01_straight_road,01 straight_road,temporal_phase,,,1723528213.157124,1723528321.185588,420,2.4531238647310842,3.9875329058442595,1.1124328888860335,1.9877059654799742,0.9106781858775179,2.136900300430679,"yaw,y",2.4531238647310842,1.1124328888860335,1.9877059654799742,0.9106781858775179,2.136900300430679
02_left_turn,02 left_turn,temporal_phase,,,1723528321.185588,1723528237.046052,0,,,,,,,,,,,,
03_straight_road,03 straight_road,temporal_phase,,,1723528237.046052,1723528244.525495,28,0.5153188711126104,0.9686862441198216,0.19932608658156345,0.20921081907366829,0.42667725896206277,0.5010017620757956,yaw,1.321623799848765,0.15154533703484888,0.712252727282141,1.1029141089082295,1.6764526850926458
04_left_turn,04 left_turn,temporal_phase,,,1723528244.525495,1723528250.465728,24,0.37263442303633226,0.5024084980221496,0.15755236555104307,0.22796676990903875,0.2491281139456768,1.304899540538196,yaw,2.091396462687646,0.5538262365692436,0.729208135481938,1.8802848611252774,1.2858729183702098
05_straight_road,05 straight_road,temporal_phase,,,1723528250.465728,1723528263.265728,50,1.0386587480606484,1.6439130220995233,0.4452764660662801,0.4960741323383874,0.7965245249928935,0.6049001999982614,z,1.3200613987286165,0.6689823818490483,0.544031979480093,0.9995268252987994,2.7560315553933963
06_trees_occlusion,06 trees_occlusion,temporal_phase,,,1723528263.265728,1723528273.585834,40,0.7083860002030457,1.0974268025067797,0.17497666329163925,0.6499776487515938,0.22073275404965087,0.2593985463311645,y,1.8022784585513194,1.6053510913255145,0.7667034201322411,0.2884811628089849,2.7579676924214915
07_straight_road,07 straight_road,temporal_phase,,,1723528273.585834,1723528280.882174,26,0.37415165613009643,0.579300414732128,0.08979329634744067,0.3231292086312023,0.16587386848243324,0.396889725197476,yaw,2.383168138201972,1.7240223802230552,1.5274869081602958,0.6115725245872178,1.9783050230077026
08_left_turn,08 left_turn,temporal_phase,,,1723528280.882174,1723528285.674305,20,0.46015774322224406,0.7095970448011736,0.3391995209923382,0.28178585528661126,0.13147458068520312,0.5072603879566765,yaw,2.875407245274964,1.8860538586377587,1.981515705650418,0.8856428042716225,1.0709465856497944
09_straight_road,09 straight_road,temporal_phase,,,1723528285.674305,1723528306.69381,80,1.1358517807612638,2.10330952520098,0.7057238440253919,0.8750529907249708,0.1624665727337253,0.9951345935755896,yaw,3.585448647070934,1.6150040092992728,3.0956028437769794,0.8151362366684185,2.570814923179074
10_trees_building_occlusion,10 trees+building_occlusion,temporal_phase,,,1723528306.69381,1723528317.083501,40,0.899702685865174,1.4553282173511646,0.8576782621058576,0.14643380030980452,0.22893244372721008,0.13924611092211803,x,3.9148035814450792,0.4986665221928273,3.6467014460372957,1.3336368862658337,2.8756087273429576
11_u-turn,11 u-turn,temporal_phase,,,1723528317.083501,1723528334.696008,68,1.8686577366368127,3.1135959709867116,0.4866407277453612,0.3988182589851594,1.7595472528727745,4.89722093601827,yaw,3.5594344743950144,1.242696956930484,3.1651676168419143,1.0521368770472317,3.7001350008707123
12_speed_breaker,12 speed_breaker,temporal_phase,,,1723528334.696008,1723528336.569798,8,0.21805929623535095,0.26761732165750063,0.13610533515682335,0.155375435924468,0.06988324783370384,1.382663726857324,yaw,4.0383975916065635,0.8483301871109061,3.4495983211165684,1.9207452783958159,6.436595113312923
13_straight_road,13 straight_road,temporal_phase,,,1723528336.569798,1723528356.963645,78,4.654297167894185,8.363440351598847,2.8849771624006744,3.6199366953081444,0.48522904020259866,9.927341640129551,yaw,7.557618295736698,2.158508986916748,6.842949992717723,2.3732822534663294,5.373082528153497
14_right_turn,14 right_turn,temporal_phase,,,1723528356.963645,1723528362.235453,20,2.859789369233798,5.09321731915867,2.657470843197674,1.0189582002346793,0.27922775669941624,19.162409086306383,yaw,11.69207860328654,7.29070655363383,8.664121410649027,2.912610546531181,29.482926701118704
15_straight_road,15 straight_road,temporal_phase,,,1723528362.235453,1723528378.383415,62,8.286822481338692,11.93513723167565,6.942286736260178,4.182507472113618,1.727053257569123,23.86059480110106,yaw,17.793763620546446,16.74874027098293,3.451161277344668,4.918049304022249,18.131605574693086
