stamp,x,y,z,qx,qy,qz,qw,yaw,vx,vy,vz,algorithm,run_id
1621218776.011930943,-0.04083350814984277,-0.02100313527144731,0.028652882365294303,6.835243760506289e-06,1.1796691231930459e-05,-2.1755503981040153e-05,0.9999999996704078,-4.351084670705863e-05,0.0,0.0,0.0,r3live,0
1621218776.011930943,-0.04083350814984277,-0.02100313527144731,0.028652882365294303,6.835243760506289e-06,1.1796691231930459e-05,-2.1755503981040153e-05,0.9999999996704078,-4.351084670705863e-05,0.0,0.0,0.0,r3live,0
1621218776.011930943,-0.04083350814984277,-0.02100313527144731,0.0,0.0,0.0,-2.1755423351759442e-05,0.9999999997633507,-4.351084670695115e-05,0.0,0.0,0.0,r3live,0
1621218776.158118248,-0.042605292980896096,-0.022837307890769116,0.0,0.0,0.0,-7.023365780599754e-05,0.9999999975336167,-0.00014046731572747717,-8.338611832895345e-19,-8.632981292187058e-19,0.0,r3live,0
1621218776.304040670,-0.043006876044870204,-0.024453100756036843,0.0,0.0,0.0,-9.151321154127105e-05,0.9999999958126661,-0.00018302642333800637,-8.38109724087937e-14,-3.3742073212236637e-13,0.0,r3live,0
1621218776.354789257,-0.043775868475107116,-0.024324273481632394,0.0,0.0,0.0,-4.0889578696897633e-05,0.9999999991640212,-8.177915741658381e-05,-1.9376385342375344e-13,-3.1393222156259374e-13,0.0,r3live,0
1621218776.507678270,-0.04341719071217231,-0.02451020460803689,0.0,0.0,0.0,-4.5629413725809796e-05,0.9999999989589783,-9.125882748328706e-05,-9.242453208222298e-15,-3.8911732807390487e-13,0.0,r3live,0
1621218776.557955027,-0.04402760875133253,-0.024540912328048416,0.0,0.0,0.0,-5.582718392447266e-05,0.9999999984416628,-0.0001116543679069437,-1.5050048732518468e-13,-3.872173184002491e-13,0.0,r3live,0
1621218776.700876474,-0.04395147777366121,-0.024073412261967946,0.0,0.0,0.0,-8.173293836115062e-05,0.9999999966598634,-0.0001634658769043007,-8.838484169199144e-14,-4.24825317407577e-14,0.0,r3live,0
1621218776.755336523,-0.04377182029335337,-0.024808005267506275,0.0,0.0,0.0,-8.207932571678644e-05,0.9999999966314922,-0.00016415865161789614,-2.6870401701202038e-14,-2.8064702894355683e-13,0.0,r3live,0
1621218776.902776957,-0.04438183476903136,-0.024872785199961188,0.0,0.0,0.0,-9.801480122023003e-05,0.9999999951965494,-0.0001960296027543329,-5.598998878192287e-13,-3.1269050916664333e-13,0.0,r3live,0
