scenario	algorithm	run_id	status	run_directory
baseline	fastlivo2	20260821_015821_baseline_fastlivo2	accepted	/home/devil/Desktop/car/localisation/Localization-Robustness-Evaluation-Framework/ss..'/results/alive/one_full_loop/fastlivo2/20260821_015821_baseline_fastlivo2
baseline	fastlio2	20260821_015821_baseline_fastlio2	accepted	/home/devil/Desktop/car/localisation/Localization-Robustness-Evaluation-Framework/ss..'/results/alive/one_full_loop/fastlio2/20260821_015821_baseline_fastlio2
baseline	lvisam	20260821_015821_baseline_lvisam	requires_review	/home/devil/Desktop/car/localisation/Localization-Robustness-Evaluation-Framework/ss..'/results/alive/one_full_loop/lvisam/20260821_015821_baseline_lvisam
baseline	floam	20260821_015821_baseline_floam	accepted	/home/devil/Desktop/car/localisation/Localization-Robustness-Evaluation-Framework/ss..'/results/alive/one_full_loop/floam/20260821_015821_baseline_floam
baseline	orbslam3	20260821_015821_baseline_orbslam3	accepted	/home/devil/Desktop/car/localisation/Localization-Robustness-Evaluation-Framework/ss..'/results/alive/one_full_loop/orbslam3/20260821_015821_baseline_orbslam3
baseline	rtabmap	20260821_015821_baseline_rtabmap	requires_review	/home/devil/Desktop/car/localisation/Localization-Robustness-Evaluation-Framework/ss..'/results/alive/one_full_loop/rtabmap/20260821_015821_baseline_rtabmap
rain	fastlivo2	20260821_015821_rain_fastlivo2	accepted	/home/devil/Desktop/car/localisation/Localization-Robustness-Evaluation-Framework/ss..'/results/alive/one_full_loop/fastlivo2/20260821_015821_rain_fastlivo2
rain	fastlio2	20260821_015821_rain_fastlio2	accepted	/home/devil/Desktop/car/localisation/Localization-Robustness-Evaluation-Framework/ss..'/results/alive/one_full_loop/fastlio2/20260821_015821_rain_fastlio2
rain	lvisam	20260821_015821_rain_lvisam	requires_review	/home/devil/Desktop/car/localisation/Localization-Robustness-Evaluation-Framework/ss..'/results/alive/one_full_loop/lvisam/20260821_015821_rain_lvisam
rain	floam	20260821_015821_rain_floam	accepted	/home/devil/Desktop/car/localisation/Localization-Robustness-Evaluation-Framework/ss..'/results/alive/one_full_loop/floam/20260821_015821_rain_floam
rain	orbslam3	20260821_015821_rain_orbslam3	accepted	/home/devil/Desktop/car/localisation/Localization-Robustness-Evaluation-Framework/ss..'/results/alive/one_full_loop/orbslam3/20260821_015821_rain_orbslam3
rain	rtabmap	20260821_015821_rain_rtabmap	requires_review	/home/devil/Desktop/car/localisation/Localization-Robustness-Evaluation-Framework/ss..'/results/alive/one_full_loop/rtabmap/20260821_015821_rain_rtabmap
fog	fastlivo2	20260821_015821_fog_fastlivo2	accepted	/home/devil/Desktop/car/localisation/Localization-Robustness-Evaluation-Framework/ss..'/results/alive/one_full_loop/fastlivo2/20260821_015821_fog_fastlivo2
fog	fastlio2	20260821_015821_fog_fastlio2	accepted	/home/devil/Desktop/car/localisation/Localization-Robustness-Evaluation-Framework/ss..'/results/alive/one_full_loop/fastlio2/20260821_015821_fog_fastlio2
fog	lvisam	20260821_015821_fog_lvisam	requires_review	/home/devil/Desktop/car/localisation/Localization-Robustness-Evaluation-Framework/ss..'/results/alive/one_full_loop/lvisam/20260821_015821_fog_lvisam
fog	floam	20260821_015821_fog_floam	accepted	/home/devil/Desktop/car/localisation/Localization-Robustness-Evaluation-Framework/ss..'/results/alive/one_full_loop/floam/20260821_015821_fog_floam
fog	orbslam3	20260821_015821_fog_orbslam3	accepted	/home/devil/Desktop/car/localisation/Localization-Robustness-Evaluation-Framework/ss..'/results/alive/one_full_loop/orbslam3/20260821_015821_fog_orbslam3
fog	rtabmap	20260821_015821_fog_rtabmap	requires_review	/home/devil/Desktop/car/localisation/Localization-Robustness-Evaluation-Framework/ss..'/results/alive/one_full_loop/rtabmap/20260821_015821_fog_rtabmap
sensor_degradation	fastlivo2	20260821_015821_sensor_degradation_fastlivo2	accepted	/home/devil/Desktop/car/localisation/Localization-Robustness-Evaluation-Framework/ss..'/results/alive/one_full_loop/fastlivo2/20260821_015821_sensor_degradation_fastlivo2
sensor_degradation	fastlio2	20260821_015821_sensor_degradation_fastlio2	accepted	/home/devil/Desktop/car/localisation/Localization-Robustness-Evaluation-Framework/ss..'/results/alive/one_full_loop/fastlio2/20260821_015821_sensor_degradation_fastlio2
sensor_degradation	lvisam	20260821_015821_sensor_degradation_lvisam	requires_review	/home/devil/Desktop/car/localisation/Localization-Robustness-Evaluation-Framework/ss..'/results/alive/one_full_loop/lvisam/20260821_015821_sensor_degradation_lvisam
sensor_degradation	floam	20260821_015821_sensor_degradation_floam	accepted	/home/devil/Desktop/car/localisation/Localization-Robustness-Evaluation-Framework/ss..'/results/alive/one_full_loop/floam/20260821_015821_sensor_degradation_floam
sensor_degradation	orbslam3	20260821_015821_sensor_degradation_orbslam3	accepted	/home/devil/Desktop/car/localisation/Localization-Robustness-Evaluation-Framework/ss..'/results/alive/one_full_loop/orbslam3/20260821_015821_sensor_degradation_orbslam3
sensor_degradation	rtabmap	20260821_015821_sensor_degradation_rtabmap	requires_review	/home/devil/Desktop/car/localisation/Localization-Robustness-Evaluation-Framework/ss..'/results/alive/one_full_loop/rtabmap/20260821_015821_sensor_degradation_rtabmap
