algorithm,scenario,x_rmse_m,y_rmse_m,z_rmse_m,xy_rmse_m,overall_rmse_m,yaw_rmse_deg,degradation_percent,maximum_error_m,localization_failure,recovered,recovery_time_s
FAST-LIVO2,Baseline,0.2920392902841965,0.2814169266102405,0.3273559405885646,0.40556433971991507,0.521195112689168,0.3981723267731689,,0.9601631564901352,False,True,0.6040346622467041
FAST-LIVO2,Rain,0.3046665737268421,0.3116471139631135,0.2912842796444213,0.43582754018991404,0.5242062345641842,0.4990066271318598,0.5777340964461556,1.0169558112222714,False,True,0.053854942321777344
FAST-LIVO2,Fog,0.3040716919209778,0.30867367174488247,0.36835980524078593,0.43328862142474217,0.5687072846141354,0.37529794503112557,9.11600488343469,1.0810027637726352,False,True,0.0072917938232421875
FAST-LIVO2,Sensor Degradation,0.28111997260408056,0.3093290480341165,0.33596893157227237,0.41798672102665146,0.5362723393355525,0.38397338605754117,2.8928181173057856,0.971940415919824,False,True,0.004773139953613281
FAST-LIO2,Baseline,0.34687976255543534,0.3564508908423578,0.3304681580515796,0.49737592146466614,0.597153255654551,0.43445165091638527,,1.005093263152262,False,True,0.3632965087890625
FAST-LIO2,Rain,0.3331323911947957,0.35417803204527676,0.3031099350154288,0.48622964579160277,0.5729702445604702,0.44319940184846324,-4.049716026009667,0.9850522084474561,False,True,0.0985417366027832
FAST-LIO2,Fog,0.3347091100854315,0.35413708174880754,0.31282376700608777,0.48728150082241284,0.5790526489427557,0.44326195693938514,-3.031149297169107,0.9722902846034386,False,True,0.09479165077209473
FAST-LIO2,Sensor Degradation,0.3368775294211194,0.3536015822857216,0.3137467074001807,0.4883856558334234,0.5804804434503351,0.44359293925625365,-2.7920491174314233,0.9717170403336641,False,True,0.09152889251708984
LVI-SAM,Baseline,0.3268682018997227,0.3390343220756352,0.27874831519307186,0.47094277036434423,0.5472547086882118,0.5062804537364742,,0.9515266382932549,False,True,0.06078696250915527
LVI-SAM,Rain,0.32427162169248586,0.3362134004402657,0.2707386402848393,0.4671097679033068,0.5398990152000324,0.5194433099207754,-1.3441078480277102,0.9427937244512433,False,True,0.19910407066345215
LVI-SAM,Fog,0.3295668057108015,0.3380141908362045,0.271857849739323,0.47208883976755395,0.5447701929235514,0.5043770073958114,-0.45399623342041673,0.9506212098141623,False,True,0.19586658477783203
LVI-SAM,Sensor Degradation,0.3302736582565109,0.3404614262365858,0.2765238608442069,0.4743360328851148,0.5490538386254804,0.5008475442295848,0.32875549697529005,0.9599299511851046,False,True,0.19252324104309082
FLOAM,Baseline,0.4051144681025764,0.30392466243366983,0.3908702375382791,0.5064463769259817,0.639740162327397,0.6223537604394804,,0.9479259790211075,False,True,0.06078696250915527
FLOAM,Rain,0.4077732656378123,0.3021762949854812,0.3577873179949268,0.5075328062500772,0.6209680461489796,0.6360241268536825,-2.9343344820065442,0.9326455395318705,False,True,0.09854650497436523
FLOAM,Fog,0.4015673298883021,0.30270423874617075,0.38777733909703177,0.5028778943128434,0.6350255438214226,0.6227652894346487,-0.7369583439661637,0.9413419257762924,False,True,0.09479737281799316
FLOAM,Sensor Degradation,0.4051144681025764,0.30392466243366983,0.3908702375382791,0.5064463769259817,0.639740162327397,0.6223537604394804,0.0,0.9479259790211075,False,True,0.09164309501647949
ORB-SLAM3,Baseline,0.7576074203728747,0.7524184018265424,0.24649656082755708,1.0677558029864553,1.0958389522694763,1.5610888535144978,,2.6377688414206166,False,True,14.946245193481445
ORB-SLAM3,Rain,0.7259560278345542,0.7563041708183815,0.25820342642947836,1.048335897099114,1.0796653011774189,1.550249519338082,-1.4759149652931969,2.532481936005085,False,True,0.05364108085632324
ORB-SLAM3,Fog,0.8750502162390584,0.7304795990229156,0.23412849814564238,1.1398742586481645,1.1636706918938178,1.7577943776864309,6.1899368957329335,2.1624978339837035,False,True,0.01741814613342285
ORB-SLAM3,Sensor Degradation,0.7046605231712376,0.6273183559039486,0.2606403934565699,0.9434377417561772,0.9787789266587175,1.4922701666343314,-10.682228932301424,2.073977116780012,False,True,0.10610198974609375
RTAB-Map,Baseline,13.708056103188579,9.482762641475006,20.142549931700096,16.66834093251994,26.14490212629895,18.16573390590494,,44.40595090322986,True,False,
RTAB-Map,Rain,5.526945098631977,6.650759359693378,19.975546048465727,8.647526940336242,21.766997085455216,12.066133351756978,-16.74477502227875,40.179143992619316,True,False,
RTAB-Map,Fog,3.398740422216191,2.753285430555481,10.002922928607777,4.374016131624959,10.917439454166098,8.03252899783904,-58.242569042993914,29.74353107000499,True,False,
RTAB-Map,Sensor Degradation,13.708056103188579,9.482762641475006,20.142549931700096,16.66834093251994,26.14490212629895,18.16573390590494,0.0,44.40595090322986,True,False,
