algorithm,scenario,x_rmse_m,y_rmse_m,z_rmse_m,xy_rmse_m,overall_rmse_m,yaw_rmse_deg,degradation_percent,maximum_error_m,localization_failure,recovered,recovery_time_s
FAST-LIVO2,Baseline,0.2920392902841965,0.2814169266102405,0.3273559405885646,0.40556433971991507,0.521195112689168,0.3981723267731689,,0.9601631564901352,False,True,0.6040346622467041
FAST-LIVO2,Rain,0.28437935846968243,0.283523869869972,0.31205974249632257,0.4015686794430972,0.5085653224479074,0.4467080356873406,-2.423236506592635,0.9569748637673974,False,True,0.010626792907714844
FAST-LIVO2,Fog,0.24988316151328077,0.29411611479327415,0.31904868307902184,0.3859350766501573,0.5007374018020033,0.4577229411715657,-3.925154014129306,0.8966178875223993,False,True,0.0796661376953125
FAST-LIVO2,Sensor Degradation,0.2722897396643268,0.30418854203637324,0.35699189088276884,0.4082552772869951,0.5423242402739675,0.3908895987696463,4.053976537842293,0.9334625434506838,False,True,0.009198665618896484
FAST-LIO2,Baseline,0.34687976255543534,0.3564508908423578,0.3304681580515796,0.49737592146466614,0.597153255654551,0.43445165091638527,,1.005093263152262,False,True,0.3632965087890625
FAST-LIO2,Rain,0.3237104901000161,0.3439777223125944,0.29145233523976277,0.47234431810719696,0.5550257818920342,0.454850819962743,-7.0547172545078185,0.9543404276758638,False,True,0.0985417366027832
FAST-LIO2,Fog,0.33740552038687405,0.3551402798616713,0.3120278994719001,0.48986437262548854,0.5807998911988618,0.43838083217627244,-2.7385540145408758,0.974030753341958,False,True,0.09479165077209473
FAST-LIO2,Sensor Degradation,0.3435977197711903,0.35829700123193076,0.33048942791974406,0.4964233416387223,0.5963718605790144,0.4324171643003129,-0.13085335600827439,1.015229521488527,False,True,0.09152889251708984
LVI-SAM,Baseline,0.3268682018997227,0.3390343220756352,0.27874831519307186,0.47094277036434423,0.5472547086882118,0.5062804537364742,,0.9515266382932549,False,True,0.06078696250915527
LVI-SAM,Rain,0.3170134639385831,0.33627291285854743,0.2677555820944943,0.462143925893992,0.5341067870599222,0.5287110116126078,-2.4025232528022666,0.9353812894637986,False,True,0.19910407066345215
LVI-SAM,Fog,0.32629654131526004,0.3403301174967274,0.2723205051420702,0.4714806695397358,0.5444744982737665,0.5103612859770327,-0.50802859624718,0.9520070460070703,False,True,0.19586658477783203
LVI-SAM,Sensor Degradation,0.32881673244016796,0.3390478104043841,0.2760786649567945,0.47230695662104766,0.5470770425789793,0.5045308687550176,-0.03246497589000274,0.9543993136716336,False,True,0.19252324104309082
FLOAM,Baseline,0.4051144681025764,0.30392466243366983,0.3908702375382791,0.5064463769259817,0.639740162327397,0.6223537604394804,,0.9479259790211075,False,True,0.06078696250915527
FLOAM,Rain,0.41237164198678483,0.29752527501932824,0.337397343555306,0.5084994202456911,0.6102529211961063,0.6351680638010869,-4.609252766625616,0.9574342751203857,False,True,0.09854650497436523
FLOAM,Fog,0.398450044474617,0.29891855203156315,0.3852154287194905,0.49811117101553803,0.6296869581101482,0.6264659989904438,-1.571451162402398,0.9354353979325989,False,True,0.09479737281799316
FLOAM,Sensor Degradation,0.402798368882386,0.2960713340850132,0.38722264202298345,0.4999047517689647,0.6323338796367389,0.614702016570699,-1.157701693092679,0.9689072160208799,False,True,0.09164309501647949
ORB-SLAM3,Baseline,0.7576074203728747,0.7524184018265424,0.24649656082755708,1.0677558029864553,1.0958389522694763,1.5610888535144978,,2.6377688414206166,False,True,14.946245193481445
ORB-SLAM3,Rain,0.7930891333660599,0.7590403615807488,0.2539183308084021,1.097785336016091,1.1267684601072605,1.5572210214066646,2.8224501213184126,2.5642825819323583,False,True,0.05364108085632324
ORB-SLAM3,Fog,1.1486017369751957,0.958326634978078,0.22504431406606185,1.495886322382434,1.5127196808345913,1.8919374443994994,38.04215279095139,3.3141567976361537,False,True,11.754746198654175
ORB-SLAM3,Sensor Degradation,0.7781911266109871,0.7675187348316835,0.26250657348559336,1.0930079770311403,1.1240890262683167,1.6604737282055813,2.5779403022985043,2.6630081388758584,False,True,0.09513020515441895
RTAB-Map,Baseline,13.708056103188579,9.482762641475006,20.142549931700096,16.66834093251994,26.14490212629895,18.16573390590494,,44.40595090322986,True,False,
RTAB-Map,Rain,5.057467774293695,7.11712880617475,20.02880915870043,8.73106538354293,21.849134972518794,7.608540281949965,-16.430610958222243,53.53538201118967,True,False,
RTAB-Map,Fog,3.3186660197269897,2.659341092265263,9.748129645969259,4.252721387006347,10.635397067816788,8.878527215783842,-59.32133531638381,28.31704268409381,True,False,
RTAB-Map,Sensor Degradation,13.985026662597493,8.62105324588084,21.601800742990545,16.42874096885928,27.139294853804547,17.11160905499522,3.803390514533029,45.91025032162466,True,False,
